,Country,City,Avg. Temp over an year
0,Algeria,Algiers,17.4(63.3)
1,Algeria,Tamanrasset,21.7(71.1)
2,Algeria,Reggane,28.3(82.9)
3,Angola,Luanda,25.8(78.4)
4,Benin,Cotonou,27.2(81.0)
5,Benin,Parakou,26.8(80.2)
6,Benin,Kandi,27.7(81.9)
7,Botswana,Maun,22.4(72.3)
8,Botswana,Gaborone,21(70)
9,Botswana,Ghanzi,21.4(70.5)
10,Burkina Faso,Ouagadougou,28.3(82.9)
11,Burkina Faso,Ouahigouya,28.6(83.5)
12,Burundi,Bujumbura,23.8(74.8)
13,Cameroon,Garoua,28.3(82.9)
14,Cameroon,Ngaoundéré,22.0(71.6)
15,Cameroon,Douala,26.7(80.1)
16,Cameroon,Yaoundé,23.8(74.8)
17,Cape Verde,Praia,24.4(75.9)
18,Central African Republic,Bangui,26.0(78.8)
19,Central African Republic,Birao,26.5(79.7)
20,Chad,N'Djamena,28.3(82.9)
21,Chad,Abéché,29.4(84.9)
22,Democratic Republic of the Congo,Kinshasa,25.3(77.5)
23,Democratic Republic of the Congo,Lubumbashi,20.8(69.4)
24,Djibouti,Djibouti,29.9(85.8)
25,Egypt,Cairo,21.4(70.5)
26,Egypt,Alexandria,20.0(68.0)
27,Equatorial Guinea,Bata,25.1(77.2)
28,Equatorial Guinea,Malabo,26.3(79.3)
29,Eritrea,Asmara,15.6(60.1)
30,Eritrea,Assab,30.5(86.9)
31,Ethiopia,Mek'ele,22.7(72.9)
32,Ethiopia,Addis Ababa,16(61)
33,Gabon,Libreville,25.9(78.6)
34,Gabon,Port-Gentil,26.0(78.8)
35,The Gambia,Banjul,26(79)
36,Ghana,Accra,26.4(79.5)
37,Ghana,Tamale,27.9(82.2)
38,Ghana,Kumasi,26(79)
39,Guinea,Conakry,26.4(79.5)
40,Guinea,Kankan,26.5(79.7)
41,Guinea-Bissau,Bissau,27(81)
42,Ivory Coast,Gagnoa,26(79)
43,Ivory Coast,Bouaké,26(79)
44,Ivory Coast,Abidjan,26(79)
45,Ivory Coast,Odienné,26(79)
46,Kenya,Mombasa,26.3(79.3)
47,Kenya,Nairobi,17.8(64.0)
48,Kenya,Garissa,29.3(84.7)
49,Kenya,Lodwar,29.3(84.7)
50,Libya,Tripoli,20(68)
51,Libya,Benghazi,19.9(67.8)
52,Madagascar,Fianarantsoa,17.9(64.2)
53,Madagascar,Toamasina,23.4(74.1)
54,Madagascar,Antananarivo,17.9(64.2)
55,Madagascar,Antsiranana,25.2(77.4)
56,Madagascar,Mahajanga,26.3(79.3)
57,Madagascar,Toliara,24.1(75.4)
58,Malawi,Karonga,24.4(75.9)
59,Malawi,Blantyre,22.2(72.0)
60,Malawi,Mzuzu,17.7(63.9)
61,Mali,Ségou,28(82)
62,Mali,Timbuktu,28(82)
63,Mali,Bamako,27.8(82.0)
64,Mauritania,Nouadhibou,21.3(70.3)
65,Mauritania,Nouakchott,25.7(78.3)
66,Morocco,Rabat,17.2(63.0)
67,Morocco,Marrakesh,19.6(67.3)
68,Morocco,Ouarzazate,18.9(66.0)
69,Mozambique,Maputo,22.8(73.0)
70,Niger,Niamey,29.3(84.7)
71,Nigeria,Lagos,26.8(80.2)
72,Nigeria,Makurdi,26.0(78.8)
73,Nigeria,Jos,27.4(81.3)
74,Nigeria,Kano,26.4(79.5)
75,Nigeria,Sokoto,28(82)
76,Republic of the Congo,Brazzaville,25(77)
77,Republic of the Congo,Pointe-Noire,26.1(79.0)
78,Republic of the Congo,Dolisie,24(75)
79,Senegal,Dakar,24(75)
80,Senegal,Thiès,24(75)
81,Somalia,Bosaso,30.0(86.0)
82,Somalia,Hargeisa,21.7(71.1)
83,Somalia,Mogadishu,27.1(80.8)
84,South Africa,Pretoria,18.2(64.8)
85,South Africa,Cape Town,16.2(61.2)
86,South Africa,Johannesburg,15.5(59.9)
87,South Africa,Bloemfontein,15.6(60.1)
88,South Africa,Upington,20.4(68.7)
89,South Africa,Durban,20.6(69.1)
90,South Sudan,Juba,27.8(82.0)
91,South Sudan,Wau,27.8(82.0)
92,Sudan,Port Sudan,28.4(83.1)
93,Sudan,Khartoum,29.9(85.8)
94,Tanzania,Dar es Salaam,25.8(78.4)
95,Tanzania,Zanzibar City,26(79)
96,Tanzania,Tabora,23(73)
97,Tanzania,Dodoma,22.7(72.9)
98,Togo,Lomé,26.9(80.4)
99,Togo,Mango,28.1(82.6)
100,Tunisia,Tunis,18.4(65.1)
101,Tunisia,Gabès,19.5(67.1)
102,Uganda,Kampala,20(68)
103,Uganda,Entebbe,21(70)
104,Zambia,Ndola,20.3(68.5)
105,Zambia,Lusaka,19.9(67.8)
106,Zambia,Livingstone,21.8(71.2)
107,Zimbabwe,Harare,18.4(65.1)
108,Zimbabwe,Bulawayo,18.9(66.0)
